journal_name,issn,cas_partition,source_sheet
Revista Iberoamericana de Automatica e Informatica Industrial,1697-7912,4,计算机科学
Turkish Journal of Electrical Engineering and Computer Sciences,1300-0632,4,计算机科学
Traitement du Signal,0765-0019,4,计算机科学
Qwerty,1828-7344,4,计算机科学
Intelligent Data Analysis,1088-467X,4,计算机科学
Cognitive Computation and Systems,2517-7567,4,计算机科学
Journal of Control and Decision,2330-7706,4,计算机科学
IET Networks,2047-4954,4,计算机科学
International Journal of Automation and Control,1740-7516,4,计算机科学
Frontiers in Communications and Networks,2673-530X,4,计算机科学
Journal of Advances in Information Technology,1798-2340,4,计算机科学
JOURNAL OF INTELLIGENT FUZZY SYSTEMS,1064-1246,4,计算机科学
Journal of Internet Technology,1607-9264,4,计算机科学
AUTOMATION AND REMOTE CONTROL,0005-1179,4,计算机科学
JOURNAL OF UNIVERSAL COMPUTER SCIENCE,0948-695X,4,计算机科学
Journal of Cellular Automata,1557-5969,4,计算机科学
Parallel Processing Letters,0129-6264,4,计算机科学
Inteligencia Artificial-Iberoamerical Journal of Artificial Intelligence,1137-3601,4,计算机科学
International Journal of Parallel Emergent and Distributed Systems,1744-5760,4,计算机科学
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,1064-2307,4,计算机科学
International Journal of Web Services Research,1545-7362,4,计算机科学
Infocommunications Journal,2061-2079,4,计算机科学
KSII Transactions on Internet and Information Systems,1976-7277,4,计算机科学
International Journal of Networked and Distributed Computing,2211-7938,4,计算机科学
CYBERNETICS AND SYSTEMS,0196-9722,4,计算机科学
COMPUTING AND INFORMATICS,1335-9150,4,计算机科学
International Journal of Agricultural and Environmental Information Systems,1947-3192,4,计算机科学
Communications in Information and Systems,1526-7555,4,计算机科学
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,0218-1940,4,计算机科学
INTERNATIONAL JOURNAL OF SATELLITE COMMUNICATIONS AND NETWORKING,1542-0973,4,计算机科学
Acta Cybernetica,0324-721X,4,计算机科学
JOURNAL OF ELECTRONIC IMAGING,1017-9909,4,计算机科学
MICROPROCESSORS AND MICROSYSTEMS,0141-9331,4,计算机科学
Malaysian Journal of Computer Science,0127-9084,4,计算机科学
Mechatronic Systems and Control,2561-1771,4,计算机科学
Image Processing On Line,2105-1232,4,计算机科学
Baltic Journal of Modern Computing,2255-8942,4,计算机科学
Bulletin of the European Association for Theoretical Computer Science,0252-9742,4,计算机科学
Ad Hoc Sensor Wireless Networks,1551-9899,4,计算机科学
IEICE TRANSACTIONS ON COMMUNICATIONS,0916-8516,4,计算机科学
Journal of Robotics and Mechatronics,0915-3942,4,计算机科学
International Journal of Communication Networks and Distributed Systems,1754-3916,4,计算机科学
Artificial Life and Robotics,1433-5298,4,计算机科学
International Journal of Web and Grid Services,1741-1106,4,计算机科学
JOURNAL OF IMAGING SCIENCE AND TECHNOLOGY,1062-3701,4,计算机科学
Journal of Web Engineering,1540-9589,4,计算机科学
Neural Network World,1210-0552,4,计算机科学
International Journal of Modeling Simulation and Scientific Computing,1793-9623,4,计算机科学
Journal of Computer Science Technology,1666-6046,4,计算机科学
ADCAIJ-Advances in Distributed Computing and Artificial Intelligence Journal,2255-2863,4,计算机科学
INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY,0952-8091,4,计算机科学
PATTERN RECOGNITION AND IMAGE ANALYSIS,1054-6618,4,计算机科学
TEM Journal-Technology Education Management Informatics,2217-8309,4,计算机科学
JOURNAL OF INTERCONNECTION NETWORKS,0219-2659,4,计算机科学
Journal of Information Processing Systems,1976-913X,4,计算机科学
International Journal of Data Warehousing and Mining,1548-3924,4,计算机科学
Journal of Robotics,1687-9600,4,计算机科学
Vietnam Journal of Computer Science,2196-8888,4,计算机科学
Journal of Advanced Computational Intelligence and Intelligent Informatics,1343-0130,4,计算机科学
IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,0916-8532,4,计算机科学
Journal of Communications Software and Systems,1845-6421,4,计算机科学
INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,0218-0014,4,计算机科学
Journal of the British Blockchain Association,2516-3957,4,计算机科学
APPLIED COMPUTATIONAL ELECTROMAGNETICS SOCIETY JOURNAL,1054-4887,4,计算机科学
Acta Universitatis Sapientiae Informatica,1844-6086,4,计算机科学
International Journal of Automation Technology,1881-7629,4,计算机科学
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,2376-3639,4,计算机科学
International Journal of Decision Support System Technology,1941-6296,4,计算机科学
Journal of Micro-Bio Robotics,2194-6418,4,计算机科学
International Journal of Ad Hoc and Ubiquitous Computing,1743-8225,4,计算机科学
International Journal of Multimedia Data Engineering Management,1947-8534,4,计算机科学
International Journal of Arts and Technology,1754-8853,4,计算机科学
International Journal of Image and Graphics,0219-4678,4,计算机科学
Foundations of Computing and Decision Sciences,0867-6356,4,计算机科学
Journal of Electrical and Computer Engineering,2090-0147,4,计算机科学
Applied Computing Review,1559-6915,4,计算机科学
IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS COMMUNICATIONS AND COMPUTER SCIENCES,0916-8508,4,计算机科学
ISeCure-ISC International Journal of Information Security,2008-2045,4,计算机科学
Computer Science Journal of Moldova,1561-4042,4,计算机科学
International Journal of Knowledge-Based and Intelligent Engineering Systems,1327-2314,4,计算机科学
Multiagent and Grid Systems,1574-1702,4,计算机科学
International Journal of Information Technology and Web Engineering,1554-1045,4,计算机科学
MODELING IDENTIFICATION AND CONTROL,0332-7353,4,计算机科学
IPSI BgD Transactions on Internet Research,1820-4503,4,计算机科学
JOURNAL OF COMMUNICATIONS TECHNOLOGY AND ELECTRONICS,1064-2269,4,计算机科学
International Journal of Computational Intelligence and Applications,1469-0268,4,计算机科学
"Advances in Computational Design,An International Journal",2383-8477,4,计算机科学
International Journal of Electronic Security and Digital Forensics,1751-911X,4,计算机科学
International Journal of Mobile Computing and Multimedia Communications,1937-9412,4,计算机科学
International Journal of Advanced Computer Science and Applications,2158-107X,4,计算机科学
International Journal of Electronics and Telecommunications,2081-8491,4,计算机科学
International Journal of Embedded Systems,1741-1068,4,计算机科学
Jordanian Journal of Computers and Information Technology,2413-9351,4,计算机科学
International Journal of Grid and High Performance Computing,1938-0259,4,计算机科学
Internet Technology Letters,2476-1508,4,计算机科学
Computer Science-AGH,1508-2806,4,计算机科学
AUTOMATIC CONTROL AND COMPUTER SCIENCES,0146-4116,4,计算机科学
AT-Automatisierungstechnik,0178-2312,4,计算机科学
EAl Endorsed Transactions on Scalable Information Systems,2032-9407,4,计算机科学
JOURNAL OF INFORMATION SCIENCE AND ENGINEERING,1016-2364,4,计算机科学
International Journal of Information System Modeling and Design,1947-8186,4,计算机科学
International Journal of Swarm Intelligence Research,1947-9263,4,计算机科学
JOURNAL OF FLOW VISUALIZATION AND IMAGE PROCESSING,1065-3090,4,计算机科学
International Journal of Biometrics,1755-8301,4,计算机科学
INTERNATIONAL JOURNAL OF COOPERATIVE INFORMATION SYSTEMS,0218-8430,4,计算机科学
International Journal of Pervasive Computing and Communications,1742-7371,4,计算机科学
JOURNAL OF HIGH SPEED NETWORKS,0926-6801,4,计算机科学
Applied Bionics and Biomechanics,1176-2322,4,计算机科学
International Journal of Applied Metaheuristic Computing,1947-8283,4,计算机科学
Romanian Journal of Information Technology and Automatic Control-Revista Romana de Informatica si Automatica,1220-1758,4,计算机科学
International Journal of Digital Crime and Forensics,1941-6210,4,计算机科学
Journal of Algorithms Computational Technology,1748-3018,4,计算机科学
International Journal of Information Retrieval Research,2155-6377,4,计算机科学
International Journal of Semantic Computing,1793-351X,4,计算机科学
International Journal of Data Mining Modelling and Management,1759-1163,4,计算机科学
Journal of Digital Forensics Security and Law,1558-7215,4,计算机科学
Joumal of Information and Organizational Sciences,1846-3312,4,计算机科学
Journal of Cases on Information Technology,1548-7717,4,计算机科学
Applied Computer Systems,2255-8683,4,计算机科学
Communications in Mathematical Biology and Neuroscience,2052-2541,4,计算机科学
INTERNATIONAL JOURNAL OF ROBOTICS AUTOMATION,0826-8185,4,计算机科学
International Journal of Distributed Systems and Technologies,1947-3532,4,计算机科学
International Journal of Business Data Communications and Networking,1548-0631,4,计算机科学
Vestnik Tomskogo Gosudarstvennogo Universiteta-Upravlenie Vychislitelnaja Tehnika i Informatika-Tomsk State University Journal of Control and Computer Science,1998-8605,4,计算机科学
International Journal of Embedded and Real-Time Communication Systems (IJERTCS),1947-3176,4,计算机科学
International Journal of Information Security and Privacy,1930-1650,4,计算机科学
International Journal of Intelligent Unmanned Systems,2049-6427,4,计算机科学
Annual Review of CyberTherapy and Telemedicine,1554-8716,4,计算机科学
Journal of Information Technology Research,1938-7857,4,计算机科学
International Journal of Grid and Utility Computing,1741-847X,4,计算机科学
International Journal of Interdisciplinary Telecommunications and Networking,1941-8663,4,计算机科学
Intelligent Decision Technologies-Netherlands,1872-4981,4,计算机科学
International Journal of System Dynamics Applications,2160-9772,4,计算机科学
Foundations and Trends in Theoretical Computer Science,1551-305X,4,计算机科学
Journal of ICT Research and Applications,2337-5787,4,计算机科学
International Journal of Modelling Identification and Control,1746-6172,4,计算机科学
International Journal of Software Innovation,2166-7160,4,计算机科学
International Journal of Cognitive Informatics and Natural Intelligence,1557-3958,4,计算机科学
Journal of Print and Media Technology Research,2223-8905,4,计算机科学
Journal of Robotics Networking and Artificial Life,2352-6386,4,计算机科学
GetMobile-Mobile Computing Communications Review,2375-0529,4,计算机科学
International Journal of Intelligent Information Technologies,1548-3657,4,计算机科学
Radio Electronics Computer Science Control,1607-3274,4,计算机科学
International Journal of Autonomous and Adaptive Communications Systems,1754-8632,4,计算机科学
Control Engineering and Applied Informatics,1454-8658,4,计算机科学
International Journal of e-Collaboration,1548-3673,4,计算机科学
MICROWAVE JOURNAL,0192-6225,4,计算机科学
IADIS-International Journal on Computer Science and Information Systems,1646-3692,4,计算机科学
Journal of Information Assurance and Security,1554-1010,4,计算机科学
International Journal of Internet Protocol Technology,1743-8209,4,计算机科学
Journal of Control Science and Engineering,1687-5249,4,计算机科学
Revista Brasileira de Computacao Aplicada,2176-6649,4,计算机科学
Telematique,1856-4194,4,计算机科学
Web Intelligence,2405-6456,4,计算机科学
ATP Magazine,2190-4111,4,计算机科学
ERCIM News,0926-4981,4,计算机科学
PRESENCE-Virtual and Augmented Reality,1054-7460,4,计算机科学
Internetworking Indonesia,1942-9703,4,计算机科学
